#{"t_start": 1777072647.9985492, "env_id": "None"}
r,l,t
11.0,289,919.997147
11.0,239,921.824592
0.0,25,922.01615
5.0,188,923.578162
18.0,447,927.135853
17.0,415,946.197625
27.0,646,951.268711
8.0,161,952.534801
8.0,188,954.037656
28.0,640,958.88975
25.0,592,979.257275
5.0,112,980.123695
15.0,334,982.747025
23.0,596,987.455942
14.0,299,989.675463
1.0,61,990.134107
18.0,379,1008.646096
35.0,748,1014.534867
15.0,345,1017.265488
10.0,261,1019.757458
24.0,504,1023.610687
15.0,332,1041.965358
14.0,248,1043.981283
14.0,292,1046.29024
22.0,409,1049.646145
28.0,723,1055.442638
17.0,331,1073.578822
14.0,255,1075.831187
8.0,206,1077.683653
6.0,138,1078.798994
18.0,439,1082.288303
23.0,507,1086.426337
24.0,450,1105.778541
6.0,102,1106.680217
19.0,456,1110.71221
21.0,518,1114.849034
19.0,363,1117.695802
10.0,238,1119.455706
19.0,380,1138.171891
8.0,164,1139.529947
18.0,380,1142.743991
11.0,350,1145.602791
30.0,711,1151.472541
33.0,678,1173.091848
16.0,298,1175.445024
12.0,242,1177.406313
8.0,144,1178.492739
20.0,501,1182.384712
17.0,319,1184.956493
10.0,237,1202.309337
34.0,755,1208.594469
21.0,362,1211.460355
28.0,513,1215.461694
21.0,481,1235.285239
15.0,262,1237.417561
28.0,536,1241.577229
16.0,357,1244.415973
22.0,386,1247.636304
21.0,441,1266.861137
4.0,93,1267.563654
7.0,150,1268.736719
4.0,113,1269.595835
19.0,340,1272.316877
24.0,433,1276.201841
39.0,723,1282.053198
